x y
188500 152
188600 122
188700 84
188800 50
188900 34
189000 26
189100 30
189200 18
189300 44
189400 46
189500 80
189600 126
189700 176
189800 214
189900 230
190000 270
190100 312
190200 336
190300 378
190400 412
190500 452
190600 488
190700 526
190800 570
190900 610
191000 660
191100 706
191200 764
191300 802
191400 832
191500 874
191600 902
191700 954
191800 992
191900 1034
192000 1070
192100 1112
192200 1146
192300 1200
192400 1224
192500 1248
192600 1256
192700 1298
192800 1334
192900 1366
193000 1398
193100 1436
193200 1476
193300 1522
193400 1540
193500 1582
193600 1620
193700 1658
193800 1684
193900 1728
194000 1780
194100 1804
194200 1854
194300 1910
194400 1938
194500 1976
194600 2022
194700 2044
194800 2076
194900 2114
195000 2146
195100 2182
195200 2220
195300 2242
195400 2274
195500 2290
195600 2258
195700 2214
195800 2160
195900 2130
196000 2100
196100 2058
196200 2016
196300 1976
196400 1936
196500 1890
196600 1856
196700 1820
196800 1780
196900 1742
197000 1714
197100 1670
197200 1632
197300 1580
197400 1552
197500 1516
197600 1468
197700 1420
197800 1386
197900 1358
198000 1292
198100 1262
198200 1210
198300 1174
198400 1154
198500 1162
198600 1190
198700 1230
198800 1268
198900 1306
199000 1338
199100 1358
199200 1396
199300 1440
199400 1468
199500 1514
199600 1564
199700 1622
199800 1662
199900 1714
200000 1730
